model_id,contamination,n_estimators,max_samples,max_features,accuracy,precision,recall,f1_score,true_positives,false_negatives,false_positives,true_negatives,predicted_frauds
M01,0.001,100,auto,1.0,0.998,0.0625,0.038462,0.047619,1,25,15,19959,16
M02,0.001,200,auto,1.0,0.99795,0.058824,0.038462,0.046512,1,25,16,19958,17
M03,0.001,300,auto,1.0,0.99795,0.058824,0.038462,0.046512,1,25,16,19958,17
M04,0.002,100,auto,1.0,0.99695,0.027027,0.038462,0.031746,1,25,36,19938,37
M05,0.002,200,auto,1.0,0.9971,0.029412,0.038462,0.033333,1,25,33,19941,34
M06,0.002,300,auto,1.0,0.9971,0.029412,0.038462,0.033333,1,25,33,19941,34
M07,0.005,100,auto,1.0,0.99415,0.021053,0.076923,0.033058,2,24,93,19881,95
M08,0.005,200,auto,1.0,0.99415,0.021053,0.076923,0.033058,2,24,93,19881,95
M09,0.005,300,auto,1.0,0.99425,0.021505,0.076923,0.033613,2,24,91,19883,93
M10,0.01,100,auto,1.0,0.989,0.010101,0.076923,0.017857,2,24,196,19778,198
M11,0.01,200,auto,1.0,0.9894,0.010526,0.076923,0.018519,2,24,188,19786,190
M12,0.01,300,auto,1.0,0.98925,0.010363,0.076923,0.018265,2,24,191,19783,193
M13,0.005,300,auto,0.8,0.9943,0.021739,0.076923,0.033898,2,24,90,19884,92
M14,0.005,300,auto,0.6,0.994,0.020408,0.076923,0.032258,2,24,96,19878,98
M15,0.005,300,10000,1.0,0.99385,0.019802,0.076923,0.031496,2,24,99,19875,101
M16,0.005,300,10000,0.8,0.9936,0.018868,0.076923,0.030303,2,24,104,19870,106
M17,0.005,300,10000,0.6,0.99405,0.020619,0.076923,0.03252,2,24,95,19879,97
M18,0.005,300,50000,1.0,0.9939,0.029412,0.115385,0.046875,3,23,99,19875,102
M19,0.005,300,50000,0.8,0.99385,0.029126,0.115385,0.046512,3,23,100,19874,103
M20,0.005,300,50000,0.6,0.99375,0.028571,0.115385,0.045802,3,23,102,19872,105
